day.frac,min.flux,mean.flux,max.flux
0.759027778,68.27309316,116.4612107,148.4207136
0.759722222,67.27071496,111.8353519,148.0085696
0.760416667,71.27131774,107.1965317,182.340102
0.761111111,66.26833676,102.9985628,119.7284722
0.761805556,65.71145998,98.80791152,114.8571394
0.7625,65.93421069,97.91896261,113.8237998
0.763194444,64.93183249,96.95737376,112.7060215
0.763888889,69.33338655,96.03371833,111.632338
0.764583333,59.50235664,95.10463713,110.5523475
0.765277778,52.887703,94.24090063,109.5483155
0.765972222,52.71117642,93.4351472,108.6116847
0.766666667,52.91284532,92.42131465,107.4331768
0.767361111,63.04806143,91.43158674,106.2826888
0.768055556,47.90351247,90.45067449,105.1424483
0.76875,47.89253671,89.46333057,103.9947315
0.769444444,45.07738113,87.50126602,101.7139717
0.770138889,44.90484636,87.90343803,102.1814679
0.770833333,68.10825764,88.34328685,161.9779946
0.771527778,67.76967655,88.90796887,132.2658826
0.772222222,67.4711906,89.4485647,132.36173
0.772916667,67.39100034,90.22302827,132.2000651
0.773611111,67.20388975,89.31618866,132.2025889
0.774305556,67.06578431,88.71915127,139.2255924
0.775,66.88758374,88.07454738,120.1226434
0.775694444,66.655923,87.40879595,120.0351366
